Gene,NCBI_Gene_ID,Description,Function,GO_Terms,KEGG_Terms
GPB2,851243,N/A,"Enables GTPase activating protein binding activity and cAMP-dependent protein kinase inhibitor activity. Involved in several processes, including invasive growth in response to glucose limitation; negative regulation of Ras protein signal transduction; and pseudohyphal growth. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YAL064W-B,851233,N/A,"Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PAU8,851229,N/A,"Predicted to be a structural constituent of cell wall. Involved in ascospore formation. Predicted to be active in fungal-type cell wall. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SWD1,851265,N/A,"Contributes to histone H3K4 methyltransferase activity. Involved in regulation of DNA-templated transcription; subtelomeric heterochromatin formation; and telomere maintenance. Part of Set1C/COMPASS complex. Orthologous to human RBBP5 (RB binding protein 5, histone lysine methyltransferase complex subunit). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YAR009C,851268,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within DNA metabolic process and transposition. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
PAU7,851275,N/A,N/A,N/A,N/A
YAR023C,851276,N/A,"Predicted to be located in membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YAR029W,851281,N/A,"Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PHO11,851299,N/A,"Enables acid phosphatase activity. Predicted to be involved in phosphate-containing compound metabolic process. Located in extracellular region. Human ortholog(s) of this gene implicated in papillary thyroid carcinoma and pontocerebellar hypoplasia type 16. Orthologous to human MINPP1 (multiple inositol-polyphosphate phosphatase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBL005W-B,852280,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SLA1,852276,N/A,"Enables cargo adaptor activity and ubiquitin binding activity. Involved in actin cortical patch assembly; endocytosis; and negative regulation of Arp2/3 complex-mediated actin nucleation. Located in actin cortical patch and nucleus. Part of SLAC complex and actin cytoskeleton-regulatory complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ACH1,852266,N/A,"Enables acetate CoA-transferase activity and acetyl-CoA hydrolase activity. Involved in acetate metabolic process. Located in cytosol and mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FUS3,852265,N/A,"Enables MAP kinase activity. Involved in several processes, including invasive growth in response to glucose limitation; pheromone response MAPK cascade; and positive regulation of protein export from nucleus. Located in cytoplasm; mating projection tip; and nucleus. Human ortholog(s) of this gene implicated in Noonan syndrome 13; Parkinson's disease; carcinoma (multiple); melanoma; and pulmonary hypertension. Orthologous to several human genes including MAPK1 (mitogen-activated protein kinase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PEP1,852264,N/A,"Enables vacuolar sorting signal binding activity. Involved in mitophagy; pexophagy; and protein targeting to vacuole. Located in Golgi apparatus. Human ortholog(s) of this gene implicated in Alzheimer's disease and abdominal aortic aneurysm. Orthologous to several human genes including SORT1 (sortilin 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBL029C-A,852251,N/A,"Predicted to enable zinc ion binding activity. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RIB1,852247,N/A,"Enables cyclohydrolase activity. Involved in riboflavin biosynthetic process. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBL039W-B,1466441,N/A,"Located in peroxisome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ERD2,852240,N/A,"Enables HDEL sequence binding activity. Involved in retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum. Located in endoplasmic reticulum membrane. Human ortholog(s) of this gene implicated in osteogenesis imperfecta type 21. Orthologous to several human genes including KDELR2 (KDEL endoplasmic reticulum protein retention receptor 2) and KDELR3 (KDEL endoplasmic reticulum protein retention receptor 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ECM13,852237,N/A,"Predicted to act upstream of or within cell wall organization. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SEC17,852230,N/A,"Enables ATPase activator activity and soluble NSF attachment protein activity. Involved in SNARE complex disassembly; autophagy; and organelle fusion. Located in cytosol. Part of SNARE complex. Human ortholog(s) of this gene implicated in developmental and epileptic encephalopathy 107. Orthologous to human NAPA (NSF attachment protein alpha) and NAPB (NSF attachment protein beta). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PRX1,852215,N/A,"Enables thioredoxin peroxidase activity. Involved in cell redox homeostasis. Located in mitochondrion. Orthologous to human PRDX6 (peroxiredoxin 6). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSA3,852203,N/A,"Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation; protein folding; and protein quality control for misfolded or incompletely synthesized proteins. Located in cytosol. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ATG8,852200,N/A,"Enables phosphatidylethanolamine binding activity and protein tag activity. Involved in several processes, including lipid droplet formation; macroautophagy; and protein targeting to vacuole. Located in phagophore assembly site; vacuole; and vacuole-isolation membrane contact site. Is active in lipid droplet. Human ortholog(s) of this gene implicated in glioblastoma. Orthologous to several human genes including GABARAPL1 (GABA type A receptor associated protein like 1) and GABARAPL3 (GABA type A receptor associated protein like 3 (pseudogene)). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBL086C,852192,N/A,"Orthologous to human EEIG2 (EEIG family member 2) and EEIG1 (estrogen-induced osteoclastogenesis regulator 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SCS22,852186,N/A,"Predicted to enable protein-membrane adaptor activity. Involved in endoplasmic reticulum membrane organization; phospholipid biosynthetic process; and regulation of phosphatidylinositol dephosphorylation. Acts upstream of or within reticulophagy. Located in cytosol. Used to study amyotrophic lateral sclerosis type 8. Human ortholog(s) of this gene implicated in amyotrophic lateral sclerosis; amyotrophic lateral sclerosis type 8; autosomal dominant adult-onset proximal spinal muscular atrophy; and spinal muscular atrophy. Orthologous to several human genes including VAPB (VAMP associated protein B and C). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YBL100W-B,852175,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
ECM21,852173,N/A,"Enables ubiquitin protein ligase binding activity. Involved in cellular response to amino acid stimulus; cellular response to starvation; and ubiquitin-dependent endocytosis. Located in cytosol. Orthologous to several human genes including ARRDC1 (arrestin domain containing 1); ARRDC2 (arrestin domain containing 2); and ARRDC3 (arrestin domain containing 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NTH2,852286,N/A,"Enables alpha,alpha-trehalase activity. Involved in trehalose catabolic process. Located in mitochondrion. Orthologous to human TREH (trehalase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RCR1,852290,N/A,"Enables protein-membrane adaptor activity. Involved in chitin localization; protein localization to plasma membrane; and vesicle-mediated transport. Located in endoplasmic reticulum membrane. Is active in plasma membrane. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
UGA2,852291,N/A,"Enables succinate-semialdehyde dehydrogenase [NAD(P)+] activity. Involved in cellular response to oxidative stress; gamma-aminobutyrate shunt; and gamma-aminobutyric acid catabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in succinic semialdehyde dehydrogenase deficiency. Orthologous to human ALDH5A1 (aldehyde dehydrogenase 5 family member A1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR012W-B,852299,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YBR013C,852300,N/A,"Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GRX7,852302,N/A,"Enables glutathione-disulfide reductase (NADPH) activity. Involved in cellular response to oxidative stress. Located in Golgi lumen; cis-Golgi network; and membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR016W,852304,N/A,"Located in cellular bud membrane and mating projection membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GAL7,852306,N/A,"Enables UDP-glucose:hexose-1-phosphate uridylyltransferase activity. Involved in galactose catabolic process via UDP-galactose, Leloir pathway. Located in cytoplasm. Used to study galactosemia. Human ortholog(s) of this gene implicated in classic galactosemia and galactosemia. Orthologous to human GALT (galactose-1-phosphate uridylyltransferase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SCO2,852312,N/A,"Enables copper ion binding activity. Involved in cell redox homeostasis and cellular response to oxidative stress. Located in mitochondrial membrane. Used to study cardiomyopathy. Human ortholog(s) of this gene implicated in cytochrome-c oxidase deficiency disease and mitochondrial complex IV deficiency nuclear type 4. Orthologous to human SCO1 (synthesis of cytochrome C oxidase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ETR1,852314,N/A,"Predicted to enable DNA binding activity and enoyl-[acyl-carrier-protein] reductase (NADPH) activity. Involved in aerobic respiration and fatty acid biosynthetic process. Located in mitochondrion. Used to study Leber hereditary optic neuropathy with demyelinating disease of CNS. Human ortholog(s) of this gene implicated in childhood-onset dystonia with optic atrophy and basal ganglia abnormalities and optic atrophy. Orthologous to human MECR (mitochondrial trans-2-enoyl-CoA reductase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
GIP1,852334,N/A,"Enables protein phosphatase 1 binding activity and protein phosphatase regulator activity. Involved in ascospore wall assembly. Located in prospore membrane. Part of protein phosphatase type 1 complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ZTA1,852335,N/A,"Enables 2-alkenal reductase [NAD(P)+] activity; NADPH:quinone reductase activity; and mRNA 3'-UTR AU-rich region binding activity. Involved in cellular response to oxidative stress. Located in cytoplasm and nucleus. Orthologous to human CRYZ (crystallin zeta) and TP53I3 (tumor protein p53 inducible protein 3). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
FMP23,852336,N/A,"Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
REG2,852340,N/A,"Enables protein phosphatase regulator activity. Involved in cellular response to glucose stimulus. Acts upstream of or within regulation of cellular response to glucose starvation. Part of protein phosphatase type 1 complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RFS1,852341,N/A,"Predicted to enable FMN binding activity and oxidoreductase activity. Acts upstream of or within positive regulation of ferroptosis. Located in cytoplasm and eisosome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR053C,852342,N/A,"Predicted to enable calcium ion binding activity and gluconolactonase activity. Orthologous to human RGN (regucalcin). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YRO2,852343,N/A,"Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR056W,852346,N/A,"Predicted to enable glucan endo-1,6-beta-glucosidase activity and glucan exo-1,3-beta-glucosidase activity. Predicted to be involved in glucan catabolic process. Located in mitochondrial intermembrane space. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR056W-A,1466443,N/A,"Is active in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR062C,852354,N/A,"Predicted to enable ubiquitin protein ligase activity. Predicted to be involved in protein ubiquitination. Predicted to be active in cytoplasm. Orthologous to human RNF181 (ring finger protein 181). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TIP1,852359,N/A,"Enables lipase activity. A structural constituent of cell wall. Involved in fungal-type cell wall organization. Located in fungal-type cell wall. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ALG14,852362,N/A,"Enables protein-membrane adaptor activity. Contributes to N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity. Involved in dolichol-linked oligosaccharide biosynthetic process. Located in endoplasmic reticulum membrane and lipid droplet. Part of UDP-N-acetylglucosamine transferase complex. Human ortholog(s) of this gene implicated in congenital myasthenic syndrome 15. Orthologous to human ALG14 (ALG14 UDP-N-acetylglucosaminyltransferase subunit). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
HSP26,852364,N/A,"Enables mRNA binding activity and unfolded protein binding activity. Involved in cellular response to heat and protein folding. Located in cytoplasmic stress granule and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ECM8,852368,N/A,"Predicted to act upstream of or within cell wall organization. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
UBC4,852376,N/A,"Enables several functions, including proteasome binding activity; ubiquitin binding activity; and ubiquitin-protein transferase activity. Involved in cellular response to heat and ubiquitin-dependent protein catabolic process. Located in cytoplasm and nucleus. Orthologous to several human genes including UBE2D4 (ubiquitin conjugating enzyme E2 D4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR085C-A,852381,N/A,"Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NHP6B,852386,N/A,"Enables DNA binding activity, bending. Involved in DNA-templated transcription and chromatin remodeling. Located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
IML3,852404,N/A,"Involved in ascospore formation; chromosome organization; and protein localization to chromosome, centromeric region. Part of outer kinetochore. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AIM3,852405,N/A,"Involved in actin cortical patch assembly and barbed-end actin filament capping. Located in actin cortical patch and membrane raft. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RAD16,852411,N/A,"Contributes to ATP-dependent activity, acting on DNA and ubiquitin-protein transferase activity. Involved in nucleotide-excision repair, DNA damage recognition; protein localization; and ubiquitin-dependent protein catabolic process. Part of Cul3-RING ubiquitin ligase complex and nucleotide-excision repair factor 4 complex. Orthologous to human HLTF (helicase like transcription factor) and TTF2 (transcription termination factor 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TPS1,852423,N/A,"Enables trehalose-phosphatase activity. Contributes to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity. Involved in cellular response to desiccation and trehalose biosynthetic process. Located in cytoplasm. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ATG14,852425,N/A,"Involved in cellular response to potassium ion starvation; cytoplasm to vacuole targeting by the Cvt pathway; and macroautophagy. Located in fungal-type vacuole membrane; phagophore assembly site; and vacuole-isolation membrane contact site. Part of phosphatidylinositol 3-kinase complex, class III, type I. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
OPY1,852426,N/A,"Enables phosphatidylinositol-4,5-bisphosphate binding activity. Involved in negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process. Located in cytoplasm and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AGP2,852429,N/A,"Predicted to enable amino acid transmembrane transporter activity. Involved in positive regulation of (R)-carnitine transmembrane transport and positive regulation of polyamine transmembrane transport. Located in endoplasmic reticulum membrane; fungal-type vacuole membrane; and plasma membrane. Human ortholog(s) of this gene implicated in retinitis pigmentosa 68. Orthologous to human SLC7A14 (solute carrier family 7 member 14). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR137W,852434,N/A,"Involved in post-translational protein targeting to endoplasmic reticulum membrane. Located in cytoplasm. Part of TRC complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR139W,852436,N/A,"Enables serine-type carboxypeptidase activity. Involved in several processes, including cellular response to nitrogen starvation; phytochelatin biosynthetic process; and zymogen activation. Located in fungal-type vacuole lumen. Is active in vacuolar lumen. Human ortholog(s) of this gene implicated in galactosialidosis and lysosomal storage disease. Orthologous to human CTSA (cathepsin A). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ADH5,851386,N/A,"Enables S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity; alcohol dehydrogenase (NAD+) activity; and hydroxymethylfurfural reductase (NADH) activity. Involved in amino acid catabolic process to alcohol via Ehrlich pathway; formaldehyde catabolic process; and furaldehyde metabolic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in AMED syndrome; alcohol dependence; asthma; late onset Parkinson's disease; and pancreatic cancer. Orthologous to several human genes including ADH1B (alcohol dehydrogenase 1B (class I), beta polypeptide) and ADH5 (alcohol dehydrogenase 5 (class III), chi polypeptide). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RTC2,852444,N/A,"Enables basic amino acid transmembrane transporter activity. Involved in basic amino acid transmembrane export from vacuole. Located in fungal-type vacuole membrane. Orthologous to human SLC66A1 (solute carrier family 66 member 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YSW1,852445,N/A,"Involved in ascospore-type prospore membrane formation. Located in prospore membrane. Part of septin complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ARA1,852446,N/A,"Enables D-arabinose 1-dehydrogenase [NAD(P)+] activity and diacetyl reductase ((S)-acetoin forming) (NAD+) activity. Involved in acetoin metabolic process and carbohydrate metabolic process. Is active in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TBS1,852447,N/A,"Enables sequence-specific DNA binding activity. Predicted to be involved in positive regulation of transcription by RNA polymerase II. Predicted to act upstream of or within DNA-templated transcription; positive regulation of DNA-templated transcription; and regulation of transcription by RNA polymerase II. Located in mitochondrion and nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
ICS2,852454,N/A,N/A,N/A,N/A
SSE2,852467,N/A,"Enables adenyl-nucleotide exchange factor activity. Involved in proteasomal ubiquitin-independent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; and protein refolding. Located in cytoplasm. Human ortholog(s) of this gene implicated in Chagas disease. Orthologous to several human genes including HSPA4 (heat shock protein family A (Hsp70) member 4) and HSPH1 (heat shock protein family H (Hsp110) member 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NPL4,852468,N/A,"Enables K48-linked polyubiquitin modification-dependent protein binding activity. Involved in several processes, including mitotic spindle disassembly; nonfunctional rRNA decay; and proteasomal protein catabolic process. Acts upstream of or within endosome to plasma membrane protein transport. Located in nuclear outer membrane-endoplasmic reticulum membrane network. Part of several cellular components, including Cdc48p-Npl4p-Vms1p AAA ATPase complex; RQC complex; and endoplasmic reticulum membrane. Orthologous to human NPLOC4 (NPL4 homolog, ubiquitin recognition factor). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UMP1,852471,N/A,"Involved in DNA damage response; proteasome assembly; and ubiquitin-dependent protein catabolic process. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in proteosome-associated autoinflammatory syndrome 2. Orthologous to human POMP (proteasome maturation protein). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ECM31,852474,N/A,"Enables 3-methyl-2-oxobutanoate hydroxymethyltransferase activity. Involved in pantothenate biosynthetic process. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
EHT1,852476,N/A,"Enables alcohol O-acetyltransferase activity and short-chain carboxylesterase activity. Involved in medium-chain fatty acid biosynthetic process and medium-chain fatty acid catabolic process. Located in lipid droplet. Orthologous to human ABHD1 (abhydrolase domain containing 1) and ABHD3 (abhydrolase domain containing 3, phospholipase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SMP1,852480,N/A,"Enables DNA binding activity, bending and sequence-specific DNA binding activity. Involved in cellular response to osmotic stress and positive regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in dilated cardiomyopathy and neurodevelopmental disorder with hypotonia, stereotypic hand movements, and impaired language. Orthologous to several human genes including BORCS8-MEF2B (BORCS8-MEF2B readthrough); MEF2A (myocyte enhancer factor 2A); and MEF2B (myocyte enhancer factor 2B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR182C-A,1466446,N/A,N/A,N/A,N/A
YPC1,852481,N/A,"Enables N-acylsphingosine amidohydrolase activity and sphingosine N-acyltransferase activity. Involved in ceramide biosynthetic process and ceramide catabolic process. Located in cortical endoplasmic reticulum. Used to study leukodystrophy. Orthologous to human ACER3 (alkaline ceramidase 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR196C-A,1466447,N/A,"Located in endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR196C-B,1466448,N/A,N/A,N/A,N/A
KTR4,852498,N/A,"Enables mannosyltransferase activity. Predicted to be involved in glycoprotein biosynthetic process and mannosylation. Predicted to act upstream of or within protein glycosylation. Located in fungal-type vacuole. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YBR200W-A,1466449,N/A,"Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
DER1,852500,N/A,"Enables misfolded protein binding activity. Involved in misfolded protein transport and retrograde protein transport, ER to cytosol. Located in endoplasmic reticulum membrane. Part of Hrd1p ubiquitin ligase ERAD-L complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
LDH1,852503,N/A,"Enables triacylglycerol lipase activity. Involved in lipid homeostasis. Located in lipid droplet. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NGR1,852513,N/A,"Enables mRNA binding activity. Involved in 3'-UTR-mediated mRNA destabilization and mitochondrion organization. Located in P-body; cytoplasmic stress granule; and perinuclear region of cytoplasm. Orthologous to human TRNAU1AP (tRNA selenocysteine 1 associated protein 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SDS24,852515,N/A,"Predicted to enable protein serine/threonine phosphatase inhibitor activity. Involved in endocytosis and septum digestion after cytokinesis. Located in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR225W,852526,N/A,N/A,N/A,N/A
OM14,852531,N/A,"Enables nascent polypeptide-associated complex binding activity. Involved in protein targeting to mitochondrion and ribosome localization. Located in mitochondrial inner-outer membrane contact site and mitochondrial outer membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR230W-A,2777172,N/A,N/A,N/A,N/A
PBP2,852533,N/A,"Enables mRNA binding activity. Involved in telomere maintenance. Located in cytoplasm and nucleus. Orthologous to several human genes including PCBP1 (poly(rC) binding protein 1); PCBP2 (poly(rC) binding protein 2); and PCBP4 (poly(rC) binding protein 4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
THI2,852542,N/A,"Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in positive regulation of thiamine biosynthetic process and positive regulation of transcription by RNA polymerase II. Located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR241C,852543,N/A,"Predicted to enable hexose transmembrane transporter activity. Predicted to be involved in monosaccharide transmembrane transport. Predicted to act upstream of or within hexose transmembrane transport. Located in fungal-type vacuole membrane. Human ortholog(s) of this gene implicated in childhood absence epilepsy; glucose metabolism disease (multiple); glycogen storage disease; myelomeningocele; and obesity. Orthologous to several human genes including SLC2A14 (solute carrier family 2 member 14); SLC2A3 (solute carrier family 2 member 3); and SLC2A4 (solute carrier family 2 member 4). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
